ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, location,text
1.37E+18,kkdonny1,58,421,,0,389,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
472589320,LeeSutton4,5272,190,,0,5786,299,United States,"RT @thebigwave2002: Emails show Biden ordered Afghanistan flights be filled with unvetted refugees 

Leaving Americans behind https://t.co/"
1.13E+18,CloverLilly007,64,314,,0,710,0,"Rocklin, CA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1.35E+18,trump_fuckkk,1,0,Neil96420544,0,10,0,,"@Neil96420544 @DailyRippleMag @Jim_Jordan Im sorry, but are you seriously laying blame for the illegal invasion an https://t.co/Vp7jvjNrf3"
3193157344,hipsher_jeffrey,1588,314,,0,2156,0,"East Tennessee, USA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1548458402,n6mdc,750,3,,0,705,0,,"RT @SoCalValleyGal: I never saw the funerals for those 13 Marines who were killed in Kabul in Afghanistan, did Joe Biden go to any of them?"
1.13E+18,AShrugged2,95,4,,0,690,0,,"RT @michaelsobolik: This reporting from @ShaolinTom @Newsweek is crucially important.

https://t.co/OVlFL51M3S

The CCP is angling to get B"
1.13E+18,CKossakoski,145,0,,0,157,0,"Windsor, CT",He will be giving his back to his constituency as Biden gave his back to the Americans left in Afghanistan. https://t.co/FWNRCff2Es
1.21E+18,FlaMimi1,238,0,Det9651,0,237,0,,"@Det9651 @PeggyWi69224915 I was referring to Afghanistan,the reasons Biden pulled out so fast ,I know Hunter cant be impeached"
1.41E+18,DrunkButtertart,1,0,,0,57,0,,"US nearing a formal agreement to use Pakistan's airspace to carry out military operations in Afghanistan

BUT In a https://t.co/zrFQk9stH7"
579048214,ce_dennis,155,0,InfoMenso,0,258,0,"Indianapolis, IN","@InfoMenso @BillKristol Border crisis -1.7 million arrested
Inflation-Not entirely on Biden; poor management of pan https://t.co/lGlethPdCd"
13283002,HunterRay,717,421,,0,3051,9,Land of the Free ,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
1126508846,bpbogel,191,64,,0,285,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.16E+18,Madison_OhioGOP,164,64,,0,18,2,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.15E+18,Kevin26346219,2510,0,,0,4952,1,"Nashville, TN",Intelligence agencies gave differing assessments to Biden and others over the strength of Afghanistans government https://t.co/GwfNbM8H4z
1.03E+18,_Crazytwist_,204,0,,0,690,2,"New York, USA","All the promises that Biden fooled you with.. AND YOU BELIEVED HIM
student debt
Jobs
Sick leave
Safe exit from Afgh https://t.co/g46tluofCZ"
19659177,Liquidnoose,53,308,,0,281,2,"Corona, CA","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
185506731,ReidStan,7477,1,ReidStan,2,4844,255,Prague,I also asked him about Biden's recent comments and also the comparisons around the U.S. exit of Afghanistan with de https://t.co/CY5CYBJg0F
21421178,davidthomas38,4120,22,,0,3802,137,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
20998770,RantsOutloud,4378,1,,0,4986,82,"Virginia Beach, VA","RT @rockonblaze: @JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain to the"
8.25E+17,dougp1480,219,22,,0,413,2,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.16E+17,ladder_36,25,64,,0,428,1,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1686416857,rockonblaze,1603,1,JesseKellyDC,2,1974,36,"Nebraska, USA","@JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain https://t.co/QOlmwhJjzk"
4530346400,jacksfriend25,693,22,,0,3743,0,Fly over Country ,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.31E+18,EllisWa38451751,1174,0,,1,644,3,,"Between the instability, terrorism, and now the prospect of mass hunger, the botched Biden withdrawal in Afghanista https://t.co/5bPVbPJZge"
32766996,RealShaughn,743,308,,0,1959,9,"ÜT: 47.427842,-120.311596","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
159287278,bgallagb,210,135,,0,226,19,Quebec,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
233293612,CurtGehl,68,698,,0,43,0,Stilwell KS,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.41E+18,_dailyscope,51,0,,0,128,1,," World top topics in media headlines:
https://t.co/0MuNTBvi2k

1. Biden
2. China
3. G20
4. Covid
5. France
6. Afg https://t.co/lWCfDPpQgv"
8.38E+17,NYformerDem,2228,3125,,0,3300,1,Up here,RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
1.26E+18,TimothyNMarsha1,3950,22,,0,4989,3, #NurembergCode #NurembergCode,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
